GWORD,EXPRESSION,SEX,AGE
god,bare,female,young_adult
god,bare,female,young_adult
god,bare,male,middle_aged
god,oh,male,middle_aged
god,oh,female,young_adult
god,oh,male,middle_aged
god,oh_my,male,middle_aged
gosh,bare,male,middle_aged
gosh,oh,male,middle_aged
god,oh,male,middle_aged
god,bare,female,young
god,oh,female,middle_aged
god,bare,male,old
god,bare,male,old
god,bare,male,adult
god,oh,male,young
god,oh_my,female,middle_aged
god,oh,male,young_adult
god,oh,female,old
god,oh,male,middle_aged
god,bare,male,middle_aged
god,bare,male,adult
god,oh,male,adult
god,oh,male,adult
god,bare,male,adult
gosh,oh,male,adult
god,oh,male,adult
god,my,male,adult
god,oh,female,adult
god,bare,male,adult
gosh,bare,female,young
gosh,bare,female,middle_aged
god,oh,female,adult
god,oh,female,adult
god,oh,male,middle_aged
god,oh,male,young_adult
god,oh,female,young_adult
god,oh,female,young
god,bare,male,young
god,oh,male,young
god,oh,female,child
god,bare,female,adult
god,my,female,adult
god,oh,female,young
god,bare,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,old
god,oh_my,female,old
god,oh,female,old
god,oh_my,female,old
god,oh,female,old
god,oh_my,male,old
god,bare,female,middle_aged
god,bare,female,middle_aged
god,bare,female,old
god,bare,female,old
gosh,oh,female,adult
god,oh_my,female,young_adult
god,oh_my,female,young_adult
god,oh_my,female,young_adult
god,oh_my,female,young_adult
god,oh_my,female,young_adult
god,oh_my,female,young_adult
god,oh,female,middle_aged
god,oh_my,female,middle_aged
god,oh,female,adult
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,bare,female,middle_aged
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh_my,male,young
god,bare,female,young
god,oh_my,female,middle_aged
god,oh,female,middle_aged
god,oh,female,old
god,bare,female,middle_aged
god,oh,female,old
god,oh,female,old
god,oh,female,middle_aged
god,oh,female,middle_aged
god,oh,female,old
god,oh_my,female,old
gosh,oh,female,middle_aged
god,oh,female,middle_aged
gosh,oh,female,middle_aged
gosh,bare,female,middle_aged
god,oh,female,young
god,oh,female,young
god,oh,female,young
god,oh,female,adult
god,oh,female,adult
god,bare,female,adult
god,oh,female,young
golly,oh,female,old
god,oh,female,old
gosh,bare,female,middle_aged
gosh,bare,female,middle_aged
god,oh_my,male,young_adult
god,oh_my,female,old
gosh,bare,female,old
god,oh_my,female,old
god,bare,female,old
god,oh,female,old
god,oh,female,old
god,oh_my,female,old
god,oh_my,female,old
god,oh,female,old
god,oh,female,old
god,oh,female,old
god,bare,female,old
god,bare,female,old
god,oh,female,old
god,bare,male,adult
god,bare,male,adult
god,bare,female,adult
god,oh,male,young_adult
god,oh,male,young_adult
god,oh,male,young_adult
god,oh_my,male,adult
god,oh_my,male,adult
god,oh_my,male,adult
god,bare,male,adult
god,oh,male,adult
god,oh,female,middle_aged
god,bare,female,old
god,bare,female,young_adult
god,oh_my,female,young_adult
god,oh_my,female,middle_aged
god,oh_my,female,middle_aged
